               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023847,           0.0043788,            0.012521,           0.0014032,             0.17558,           0.0011177,          0.00032168,            0.023952,           0.0036464,            0.012629,              0.0003,              0.0003,              0.0973
                   1,            0.023465,           0.0041589,            0.012393,           0.0014738,            0.042491,           0.0010813,          0.00024984,            0.023618,           0.0035888,            0.012655,          0.00060995,          0.00060995,             0.09451
                   2,            0.022932,           0.0041683,            0.012319,           0.0025323,            0.024441,           0.0010788,          0.00026256,            0.023121,           0.0036436,            0.012592,          0.00091968,          0.00091968,             0.09172
                   3,            0.022443,           0.0040486,            0.012177,           0.0066765,            0.024441,           0.0017314,          0.00034083,            0.022276,           0.0037954,            0.012416,            0.001229,            0.001229,            0.088929
                   4,            0.021642,            0.004415,            0.012028,             0.15556,           0.0054945,            0.001782,          0.00037694,            0.021579,           0.0038947,            0.012217,           0.0015378,           0.0015378,            0.086138
                   5,            0.020825,           0.0045474,            0.011791,           0.0040311,              0.0253,           0.0024578,           0.0006119,            0.020901,           0.0040053,             0.01217,           0.0018459,           0.0018459,            0.083346
                   6,            0.020034,           0.0045302,            0.011678,            0.011118,            0.045671,           0.0039566,          0.00094682,            0.020378,           0.0040465,            0.011772,           0.0021532,           0.0021532,            0.080553
                   7,            0.019362,           0.0047755,            0.011529,           0.0025623,            0.060408,           0.0022453,          0.00043136,            0.019897,           0.0041858,            0.011498,           0.0024594,           0.0024594,            0.077759
                   8,            0.018966,            0.004897,            0.011318,           0.0085733,             0.20208,           0.0069789,           0.0017428,            0.019081,           0.0042732,            0.011389,           0.0027644,           0.0027644,            0.074964
                   9,             0.01828,           0.0049548,            0.011084,            0.006845,            0.032103,           0.0050341,           0.0011474,            0.018775,           0.0043479,            0.011137,           0.0030681,           0.0030681,            0.072168
                  10,             0.01756,           0.0052001,            0.010813,              0.0173,            0.051308,            0.010778,           0.0028541,            0.018112,           0.0043978,            0.010841,           0.0033703,           0.0033703,             0.06937
                  11,            0.017038,           0.0053869,            0.010594,             0.03611,            0.059224,            0.020957,           0.0079085,            0.017686,           0.0044831,            0.010468,           0.0036708,           0.0036708,            0.066571
                  12,            0.016528,           0.0051855,            0.010277,            0.078132,            0.088471,            0.045869,             0.02009,             0.01697,           0.0045692,            0.010118,           0.0039695,           0.0039695,            0.063769
                  13,            0.016159,           0.0054027,            0.010059,             0.13973,             0.13788,            0.064617,            0.021535,            0.016595,           0.0046363,           0.0097487,           0.0042662,           0.0042662,            0.060966
                  14,            0.015672,           0.0052815,           0.0096608,             0.27628,              0.1084,            0.076971,            0.036316,            0.016295,           0.0046358,           0.0094469,           0.0045608,           0.0045608,            0.058161
                  15,            0.015026,           0.0054931,           0.0094508,             0.33296,             0.13277,            0.091683,            0.041524,            0.015956,           0.0046304,           0.0090411,           0.0048531,           0.0048531,            0.055353
                  16,            0.014732,           0.0054553,           0.0093235,              0.8041,            0.078356,            0.086936,            0.040105,            0.015471,           0.0047604,           0.0088575,            0.005143,            0.005143,            0.052543
                  17,            0.014078,            0.005677,           0.0089413,             0.79983,             0.10655,            0.098207,            0.043614,            0.014883,           0.0048231,           0.0084451,           0.0054303,           0.0054303,             0.04973
                  18,            0.013821,           0.0057731,           0.0087676,             0.80161,            0.095557,             0.10252,            0.052317,            0.014699,           0.0047812,           0.0081669,           0.0057148,           0.0057148,            0.046915
                  19,            0.013693,           0.0056805,            0.008451,             0.83479,             0.10105,             0.12028,            0.059993,            0.014505,           0.0047088,           0.0079721,           0.0059965,           0.0059965,            0.044097
                  20,            0.013246,           0.0055563,           0.0083428,             0.52313,             0.14426,             0.11791,            0.053118,            0.014029,            0.004734,           0.0078137,           0.0062752,           0.0062752,            0.041275
                  21,             0.01318,            0.005688,           0.0080975,              0.2249,             0.31675,             0.12377,            0.037192,             0.01404,           0.0046905,           0.0076395,           0.0065507,           0.0065507,            0.038451
                  22,            0.012971,           0.0055295,           0.0077192,             0.29718,             0.23768,             0.12739,            0.046542,            0.013719,           0.0046974,           0.0074223,            0.006823,            0.006823,            0.035623
